seccion_censal;cod_pos;cod_ine
0301402011;03004;03014
0301402012;03009;03014
0301402013;03009;03014
0301402014;03010;03014
0301402016;03010;03014
0301402017;03004;03014
0301402017;03009;03014
0301402018;03004;03014
0301402019;03004;03014
0301402020;03004;03014
0301402020;03012;03014
0301402021;03010;03014
0301402022;03012;03014
0301402022;03004;03014
0301402023;03012;03014
0301402024;03013;03014
0301402024;03012;03014
0301402025;03013;03014
0301402026;03012;03014
0301402026;03013;03014
0301402028;03012;03014
0301402029;03012;03014
0301402030;03012;03014
0301402030;03010;03014
0301402032;03010;03014
0301402033;03010;03014
0301403001;03013;03014
0301403002;03013;03014
0301403003;03013;03014
0301403004;03012;03014
0301403004;03013;03014
0301403005;03012;03014
0301403006;03012;03014
0301403007;03012;03014
0301403008;03012;03014
0301403009;03012;03014
0301403010;03012;03014
0301403011;03012;03014
0301403011;03014;03014
0301403012;03012;03014
0301403012;03014;03014
0301403013;03014;03014
0301403014;03014;03014
0301403015;03014;03014
0301403015;03015;03014
0301403016;03015;03014
0301403016;03013;03014
0301403017;03013;03014
0301403019;03013;03014
0301403020;03013;03014
0301403021;03013;03014
0301403022;03012;03014
0301403023;03013;03014
0301403024;03012;03014
0301403026;03013;03014
0301403027;03013;03014
0301403028;03012;03014
0301403029;03012;03014
0301403029;03013;03014
0301403030;03014;03014
0301403030;03015;03014
0301403030;03012;03014
0301403031;03012;03014
0301403032;03012;03014
0301403033;03013;03014
0301403034;03013;03014
0301403035;03012;03014
0301403036;03015;03014
0301403037;03015;03014
0301403038;03015;03014
0301403039;03015;03014
0301403040;03015;03014
0301403041;03015;03014
0301404001;03014;03014
0301404002;03540;03014
0301404003;03016;03014
0301404003;03540;03014
0301404004;03014;03014
0301404005;03016;03014
0301404005;03540;03014
0301404006;03014;03014
0301404007;03014;03014
0301404008;03015;03014
0301404009;03014;03014
0301404010;03014;03014
0301404012;03015;03014
0301404013;03015;03014
0301404014;03015;03014
0301404015;03015;03014
0301404016;03559;03014
0301404016;03015;03014
0301404017;03016;03014
0301404018;03016;03014
0301404019;03016;03014
0301404020;03016;03014
0301404020;03540;03014
0301404021;03540;03014
0301404022;03540;03014
0301404023;03113;03014
0301404023;03112;03014
0301404024;03015;03014
0301404024;03014;03014
0301404024;03112;03014
0301404025;03015;03014
0301404026;03540;03014
0301404026;03016;03014
0301404027;03540;03014
0301404028;03540;03014
0301404029;03015;03014
0301404030;03540;03014
0301404031;03016;03014
0301404031;03540;03014
0301404032;03540;03014
0301404033;03540;03014
0301404034;03540;03014
0301404035;03540;03014
0301404035;03016;03014
0301404036;03540;03014
0301404037;03540;03014
0301404037;03016;03014
0301404038;03540;03014
0301404039;03540;03014
0301404039;03016;03014
0301404040;03540;03014
0301404041;03559;03014
0301404041;03112;03014
0301404041;03115;03014
0301404041;03016;03014
0301404042;03540;03014
0301404043;03540;03014
0301404044;03550;03014
0301404044;03540;03014
0301404044;03016;03014
0301404045;03540;03014
0301404046;03540;03014
0301404047;03540;03014
0301404048;03540;03014
0301405001;03010;03014
0301405002;03010;03014
0301405003;03010;03014
0301405004;03010;03014
0301405005;03010;03014
0301405006;03010;03014
0301405006;03011;03014
0301405007;03010;03014
0301405007;03011;03014
0301405007;03409;03014
0301405008;03011;03014
0301405009;03011;03014
0301405010;03011;03014
0301405011;03010;03014
0301405011;03011;03014
0301405012;03011;03014
0301405014;03011;03014
0301405016;03011;03014
0301405017;03011;03014
0301405018;03010;03014
0301405019;03011;03014
0301405020;03011;03014
0301405022;03010;03014
0301405023;03010;03014
0301405024;03010;03014
0301405024;03011;03014
0301405025;03010;03014
0301405026;03010;03014
0301405026;03009;03014
0301406001;03005;03014
0301406002;03005;03014
0301406003;03005;03014
0301406004;03005;03014
0301406005;03005;03014
0301406006;03005;03014
0301406006;03009;03014
0301406007;03005;03014
0301406008;03005;03014
0301406009;03005;03014
0301406010;03005;03014
0301406011;03005;03014
0301406011;03009;03014
0301406012;03009;03014
0301406013;03009;03014
0301406014;03009;03014
0301406015;03009;03014
0301406016;03009;03014
0301406017;03005;03014
0301406017;03009;03014
0301406018;03009;03014
0301406019;03009;03014
0301406020;03009;03014
0301406021;03009;03014
0301406022;03009;03014
0301406023;03005;03014
0301406024;03009;03014
0301406025;03005;03014
0301406026;03005;03014
0301406027;03005;03014
0301406028;03005;03014
0301406029;03005;03014
0301406030;03005;03014
0301406031;03005;03014
0301406032;03005;03014
0301406033;03005;03014
0301406034;03005;03014
0301406034;03006;03014
0301406034;03009;03014
0301406035;03005;03014
0301407001;03006;03014
0301407002;03006;03014
0301407003;03006;03014
0301407004;03006;03014
0301407005;03006;03014
